epoch,Day,Infectived,Recovered,Current Infected,Susceptibles
1,1,1,0,1,134
1,2,4,0,4,131
1,3,9,0,9,126
1,4,16,1,15,119
1,5,28,1,27,107
1,6,47,4,43,88
1,7,59,9,50,76
1,8,63,16,47,72
1,9,63,28,35,72
1,10,63,47,16,72
1,11,63,59,4,72
1,12,63,63,0,72
1,13,63,63,0,72
1,14,63,63,0,72
1,15,63,63,0,72
1,16,63,63,0,72
1,17,63,63,0,72
1,18,63,63,0,72
1,19,63,63,0,72
1,20,63,63,0,72
1,21,63,63,0,72
1,22,63,63,0,72
1,23,63,63,0,72
1,24,63,63,0,72
1,25,63,63,0,72
1,26,63,63,0,72
1,27,63,63,0,72
1,28,63,63,0,72
1,29,63,63,0,72
1,30,63,63,0,72
1,31,63,63,0,72
1,32,63,63,0,72
1,33,63,63,0,72
1,34,63,63,0,72
1,35,63,63,0,72
1,36,63,63,0,72
1,37,63,63,0,72
1,38,63,63,0,72
1,39,63,63,0,72
1,40,63,63,0,72
1,41,63,63,0,72
1,42,63,63,0,72
1,43,63,63,0,72
1,44,63,63,0,72
1,45,63,63,0,72
1,46,63,63,0,72
1,47,63,63,0,72
1,48,63,63,0,72
1,49,63,63,0,72
1,50,63,63,0,72
1,51,63,63,0,72
1,52,63,63,0,72
1,53,63,63,0,72
1,54,63,63,0,72
1,55,63,63,0,72
1,56,63,63,0,72
1,57,63,63,0,72
1,58,63,63,0,72
1,59,63,63,0,72
1,60,63,63,0,72
1,61,63,63,0,72
1,62,63,63,0,72
1,63,63,63,0,72
1,64,63,63,0,72
1,65,63,63,0,72
1,66,63,63,0,72
1,67,63,63,0,72
1,68,63,63,0,72
1,69,63,63,0,72
1,70,63,63,0,72
1,71,63,63,0,72
1,72,63,63,0,72
1,73,63,63,0,72
1,74,63,63,0,72
1,75,63,63,0,72
1,76,63,63,0,72
1,77,63,63,0,72
1,78,63,63,0,72
1,79,63,63,0,72
1,80,63,63,0,72
1,81,63,63,0,72
1,82,63,63,0,72
1,83,63,63,0,72
1,84,63,63,0,72
1,85,63,63,0,72
1,86,63,63,0,72
1,87,63,63,0,72
1,88,63,63,0,72
1,89,63,63,0,72
1,90,63,63,0,72
1,91,63,63,0,72
1,92,63,63,0,72
1,93,63,63,0,72
1,94,63,63,0,72
1,95,63,63,0,72
1,96,63,63,0,72
1,97,63,63,0,72
1,98,63,63,0,72
1,99,63,63,0,72
1,100,63,63,0,72
2,1,2,0,2,133
2,2,5,0,5,130
2,3,8,0,8,127
2,4,16,1,15,119
2,5,24,2,22,111
2,6,45,5,40,90
2,7,52,8,44,83
2,8,59,16,43,76
2,9,63,24,39,72
2,10,66,45,21,69
2,11,66,52,14,69
2,12,66,59,7,69
2,13,66,63,3,69
2,14,66,66,0,69
2,15,66,66,0,69
2,16,66,66,0,69
2,17,66,66,0,69
2,18,66,66,0,69
2,19,66,66,0,69
2,20,66,66,0,69
2,21,66,66,0,69
2,22,66,66,0,69
2,23,66,66,0,69
2,24,66,66,0,69
2,25,66,66,0,69
2,26,66,66,0,69
2,27,66,66,0,69
2,28,66,66,0,69
2,29,66,66,0,69
2,30,66,66,0,69
2,31,66,66,0,69
2,32,66,66,0,69
2,33,66,66,0,69
2,34,66,66,0,69
2,35,66,66,0,69
2,36,66,66,0,69
2,37,66,66,0,69
2,38,66,66,0,69
2,39,66,66,0,69
